,Unnamed: 0,Sender,Child,UMID,Text,Recipient,Type,Likes,Gender,Age,Media,BMI,mean_BMI,tokens,triples,low,stop,punctuation,stem,stem_string,foods,drinks,restaurants,supermarkets,related,slang,brands,diet,meals,Dmeals,Media_0.0,Media_1.0,Media_2.0,words,words_no,word_string,count,length,nutriscores,nutriscore_mean
10,405,3410302343,2343.0,31476,Kersen zijn bae,,group,5,1,10,2.0,,26,"['Kersen', 'zijn', 'bae']","['Kersen', 'zijn', 'bae']","['kersen', 'zijn', 'bae']","['kersen', 'bae']","['kersen', 'bae']","['kers', 'bae']","kers,bae",1,0,0,0,0,0,0,0,0,0,0,0,1,['kers'],1,kers,7,2,[1.4],1.4
11,406,3410302343,2343.0,31546,Wie zn brood lekker? :-P ,,group,2,1,10,1.0,,26,"['Wie', 'zn', 'brood', 'lekker', 'P']","['Wie', 'zn', 'brood', 'lekker', 'P']","['wie', 'zn', 'brood', 'lekker', 'p']","['zn', 'brood', 'lekker']","['zn', 'brood', 'lekker']","['zn', 'brod', 'lekker']","zn,brod,lekker",1,0,0,0,0,0,0,0,0,0,0,1,0,['brod'],1,brod,7,3,[1.2],1.2
17,621,3410302347,2347.0,31533,Dit is groente patat het is fies,,group,3,0,10,2.0,,16,"['Dit', 'is', 'groente', 'patat', 'het', 'is', 'fies']","['Dit', 'is', 'groente', 'patat', 'het', 'is', 'fies']","['dit', 'is', 'groente', 'patat', 'het', 'is', 'fies']","['groente', 'patat', 'fies']","['groente', 'patat', 'fies']","['groent', 'patat', 'fies']","groent,patat,fies",1,0,0,0,0,0,0,0,0,1,0,0,1,"['patat', 'groent']",2,"patat,groent",1,3,"[4, 1]",2.5
46,7732,4013503182,3182.0,36669,Een kilo kaas een kilo worst een kilo groente een kilo fruit en dan nu bestellen,4013504881.0,my,0,0,10,0.0,,15,"['Een', 'kilo', 'kaas', 'een', 'kilo', 'worst', 'een', 'kilo', 'groente', 'een', 'kilo', 'fruit', 'en', 'dan', 'nu', 'bestellen']","['Een', 'kilo', 'kaas', 'een', 'kilo', 'worst', 'een', 'kilo', 'groente', 'een', 'kilo', 'fruit', 'en', 'dan', 'nu', 'bestellen']","['een', 'kilo', 'kaas', 'een', 'kilo', 'worst', 'een', 'kilo', 'groente', 'een', 'kilo', 'fruit', 'en', 'dan', 'nu', 'bestellen']","['kilo', 'kaas', 'kilo', 'worst', 'kilo', 'groente', 'kilo', 'fruit', 'bestellen']","['kilo', 'kaas', 'kilo', 'worst', 'kilo', 'groente', 'kilo', 'fruit', 'bestellen']","['kilo', 'kas', 'kilo', 'worst', 'kilo', 'groent', 'kilo', 'fruit', 'bestell']","kilo,kas,kilo,worst,kilo,groent,kilo,fruit,bestell",4,0,0,0,0,0,0,0,0,0,1,0,0,"['fruit', 'worst', 'kas', 'groent']",4,"fruit,worst,kas,groent",2,9,"[1.5, 3.2, 4, 1]",2.425
49,7926,4013503259,3259.0,37015,Die is bes wel dk,4013503181.0,my,0,0,10,1.0,,15,"['Die', 'is', 'bes', 'wel', 'dk']","['Die', 'is', 'bes', 'wel', 'dk']","['die', 'is', 'bes', 'wel', 'dk']","['bes', 'wel', 'dk']","['bes', 'wel', 'dk']","['bes', 'wel', 'dk']","bes,wel,dk",1,0,0,0,0,0,0,0,0,0,0,1,0,['bes'],1,bes,3,3,[1],1.0
63,16199,3310002266,2266.0,18617,En ze doneren kapot veel,,group,0,0,11,0.0,17.5657258675116,17,"['En', 'ze', 'doneren', 'kapot', 'veel']","['En', 'ze', 'doneren', 'kapot', 'veel']","['en', 'ze', 'doneren', 'kapot', 'veel']","['doneren', 'kapot']","['doneren', 'kapot']","['doner', 'kapot']","doner,kapot",0,0,0,0,0,0,0,0,1,0,1,0,0,['doner'],1,doner,4,2,[2],2.0
64,16270,3310002266,2266.0,19206,Nog wat grappen uit ge haalt hoe noem banaan die jouw plaagt een banananana,3310004425.0,my,0,0,11,0.0,,17,"['Nog', 'wat', 'grappen', 'uit', 'ge', 'haalt', 'hoe', 'noem', 'banaan', 'die', 'jouw', 'plaagt', 'een', 'banananana']","['Nog', 'wat', 'grappen', 'uit', 'ge', 'haalt', 'hoe', 'noem', 'banaan', 'die', 'jouw', 'plaagt', 'een', 'banananana']","['nog', 'wat', 'grappen', 'uit', 'ge', 'haalt', 'hoe', 'noem', 'banaan', 'die', 'jouw', 'plaagt', 'een', 'banananana']","['grappen', 'haalt', 'noem', 'banaan', 'jouw', 'plaagt', 'banananana']","['grappen', 'haalt', 'noem', 'banaan', 'jouw', 'plaagt', 'banananana']","['grapp', 'haalt', 'noem', 'banan', 'jouw', 'plaagt', 'banananana']","grapp,haalt,noem,banan,jouw,plaagt,banananana",1,0,0,0,0,0,0,0,0,0,1,0,0,['banan'],1,banan,4,7,[2],2.0
67,16758,3310002270,2270.0,15913,Hoi ken meneer blauwe kreeft,,group,0,0,10,0.0,,18,"['Hoi', 'ken', 'meneer', 'blauwe', 'kreeft']","['Hoi', 'ken', 'meneer', 'blauwe', 'kreeft']","['hoi', 'ken', 'meneer', 'blauwe', 'kreeft']","['hoi', 'ken', 'meneer', 'blauwe', 'kreeft']","['hoi', 'ken', 'meneer', 'blauwe', 'kreeft']","['hoi', 'ken', 'mener', 'blauw', 'kreeft']","hoi,ken,mener,blauw,kreeft",1,0,0,0,0,0,0,0,0,0,1,0,0,['kreeft'],1,kreeft,5,5,[1],1.0
74,17099,3310002280,2280.0,17587,Gaan op die banaan sem ahah,,group,0,1,11,0.0,,18,"['Gaan', 'op', 'die', 'banaan', 'sem', 'ahah']","['Gaan', 'op', 'die', 'banaan', 'sem', 'ahah']","['gaan', 'op', 'die', 'banaan', 'sem', 'ahah']","['gaan', 'banaan', 'sem', 'ahah']","['gaan', 'banaan', 'sem', 'ahah']","['gan', 'banan', 'sem', 'ahah']","gan,banan,sem,ahah",1,0,0,0,0,0,0,0,0,0,1,0,0,['banan'],1,banan,5,4,[2],2.0
79,17524,3310002281,2281.0,17584,Sappige banaan,,group,0,0,10,0.0,,16,"['Sappige', 'banaan']","['Sappige', 'banaan']","['sappige', 'banaan']","['sappige', 'banaan']","['sappige', 'banaan']","['sappig', 'banan']","sappig,banan",1,0,0,0,0,0,0,0,0,0,1,0,0,['banan'],1,banan,8,2,[2],2.0
90,22241,3812402859,2859.0,17654,Vies fruit hebben we,,group,2,1,10,2.0,,16,"['Vies', 'fruit', 'hebben', 'we']","['Vies', 'fruit', 'hebben', 'we']","['vies', 'fruit', 'hebben', 'we']","['vies', 'fruit', 'we']","['vies', 'fruit', 'we']","['vies', 'fruit', 'we']","vies,fruit,we",1,0,0,0,0,0,0,0,0,0,0,0,1,['fruit'],1,fruit,6,3,[1.5],1.5
94,22391,3812402862,2862.0,17250,"Hihi, die vis??????",,group,0,1,10,0.0,,23,"['Hihi', 'die', 'vis']","['Hihi', 'die', 'vis']","['hihi', 'die', 'vis']","['hihi', 'vis']","['hihi', 'vis']","['hihi', 'vis']","hihi,vis",1,0,0,0,0,0,0,0,0,0,1,0,0,['vis'],1,vis,11,2,[1],1.0
99,22516,3812402865,2865.0,17268,Ik bedoel het eigenlijk een haai maar ik weet dat het een vis.,,group,0,1,11,0.0,,15,"['Ik', 'bedoel', 'het', 'eigenlijk', 'een', 'haai', 'maar', 'ik', 'weet', 'dat', 'het', 'een', 'vis']","['Ik', 'bedoel', 'het', 'eigenlijk', 'een', 'haai', 'maar', 'ik', 'weet', 'dat', 'het', 'een', 'vis']","['ik', 'bedoel', 'het', 'eigenlijk', 'een', 'haai', 'maar', 'ik', 'weet', 'dat', 'het', 'een', 'vis']","['bedoel', 'eigenlijk', 'haai', 'weet', 'vis']","['bedoel', 'eigenlijk', 'haai', 'weet', 'vis']","['bedoel', 'eigen', 'haai', 'wet', 'vis']","bedoel,eigen,haai,wet,vis",1,0,0,0,0,0,0,0,0,0,1,0,0,['vis'],1,vis,2,5,[1],1.0
102,22727,3812402869,2869.0,16617,# avocado,,group,1,0,10,0.0,,15,['avocado'],['avocado'],['avocado'],['avocado'],['avocado'],['avocado'],avocado,1,0,0,0,0,0,0,0,0,0,1,0,0,['avocado'],1,avocado,13,1,[1],1.0
