,Unnamed: 0,Sender,Child,UMID,Text,Recipient,Type,Likes,Gender,Age,Media,BMI,mean_BMI,tokens,triples,low,stop,punctuation,stem,stem_string,foods,drinks,restaurants,supermarkets,related,slang,brands,diet,meals,Dmeals,Media_0.0,Media_1.0,Media_2.0,words,words_no,word_string,count,length,nutriscores,nutriscore_mean
0,76,3410302338,2338.0,32022,Ham kaas op een tosti,,group,2,0,10,0.0,,20,"['Ham', 'kaas', 'op', 'een', 'tosti']","['Ham', 'kaas', 'op', 'een', 'tosti']","['ham', 'kaas', 'op', 'een', 'tosti']","['ham', 'kaas', 'tosti']","['ham', 'kaas', 'tosti']","['ham', 'kas', 'tosti']","ham,kas,tosti",3,0,0,0,0,0,0,0,0,0,1,0,0,"['ham', 'tosti', 'kas']",3,"ham,tosti,kas",2,3,"[2.2, 4, 4]",3.4
1,82,3410302338,2338.0,32092,Ham en kaas op een tosti like,,group,1,0,10,0.0,,20,"['Ham', 'en', 'kaas', 'op', 'een', 'tosti', 'like']","['Ham', 'en', 'kaas', 'op', 'een', 'tosti', 'like']","['ham', 'en', 'kaas', 'op', 'een', 'tosti', 'like']","['ham', 'kaas', 'tosti', 'like']","['ham', 'kaas', 'tosti', 'like']","['ham', 'kas', 'tosti', 'lik']","ham,kas,tosti,lik",3,0,0,0,0,0,0,0,0,0,1,0,0,"['ham', 'tosti', 'kas']",3,"ham,tosti,kas",2,4,"[2.2, 4, 4]",3.4
4,242,3410302342,2342.0,31691,Ik ?? snoep,,group,1,1,10,0.0,,14,"['Ik', 'snoep']","['Ik', 'snoep']","['ik', 'snoep']",['snoep'],['snoep'],['snoep'],snoep,1,0,0,0,0,0,0,0,0,0,1,0,0,['snoep'],1,snoep,7,1,[4.4],4.4
6,335,3410302342,2342.0,31910,Dit heb ik nu als toetje maar hij ziet er wel iets anders uit en de binnenkant is zo lekker echt Ik zal er zijn maar vertellen over Ja jullie lezen maar ik sta nee ik schrijf het maar ok maar als je hem dus ook en sluit daar ging het licht uit komen ok dan valt er allemaal chocolademousse uit en Smarties als je het ook allemaal in een dat zo lekker en ik ga nu dus lekker smikkelen,,group,4,1,10,2.0,,14,"['Dit', 'heb', 'ik', 'nu', 'als', 'toetje', 'maar', 'hij', 'ziet', 'er', 'wel', 'iets', 'anders', 'uit', 'en', 'de', 'binnenkant', 'is', 'zo', 'lekker', 'echt', 'Ik', 'zal', 'er', 'zijn', 'maar', 'vertellen', 'over', 'Ja', 'jullie', 'lezen', 'maar', 'ik', 'sta', 'nee', 'ik', 'schrijf', 'het', 'maar', 'ok', 'maar', 'als', 'je', 'hem', 'dus', 'ook', 'en', 'sluit', 'daar', 'ging', 'het', 'licht', 'uit', 'komen', 'ok', 'dan', 'valt', 'er', 'allemaal', 'chocolademousse', 'uit', 'en', 'Smarties', 'als', 'je', 'het', 'ook', 'allemaal', 'in', 'een', 'dat', 'zo', 'lekker', 'en', 'ik', 'ga', 'nu', 'dus', 'lekker', 'smikkelen']","['Dit', 'heb', 'ik', 'nu', 'als', 'toetje', 'maar', 'hij', 'ziet', 'er', 'wel', 'iets', 'anders', 'uit', 'en', 'de', 'binnenkant', 'is', 'zo', 'lekker', 'echt', 'Ik', 'zal', 'er', 'zijn', 'maar', 'vertellen', 'over', 'Ja', 'jullie', 'lezen', 'maar', 'ik', 'sta', 'nee', 'ik', 'schrijf', 'het', 'maar', 'ok', 'maar', 'als', 'je', 'hem', 'dus', 'ook', 'en', 'sluit', 'daar', 'ging', 'het', 'licht', 'uit', 'komen', 'ok', 'dan', 'valt', 'er', 'allemaal', 'chocolademousse', 'uit', 'en', 'Smarties', 'als', 'je', 'het', 'ook', 'allemaal', 'in', 'een', 'dat', 'zo', 'lekker', 'en', 'ik', 'ga', 'nu', 'dus', 'lekker', 'smikkelen']","['dit', 'heb', 'ik', 'nu', 'als', 'toetje', 'maar', 'hij', 'ziet', 'er', 'wel', 'iets', 'anders', 'uit', 'en', 'de', 'binnenkant', 'is', 'zo', 'lekker', 'echt', 'ik', 'zal', 'er', 'zijn', 'maar', 'vertellen', 'over', 'ja', 'jullie', 'lezen', 'maar', 'ik', 'sta', 'nee', 'ik', 'schrijf', 'het', 'maar', 'ok', 'maar', 'als', 'je', 'hem', 'dus', 'ook', 'en', 'sluit', 'daar', 'ging', 'het', 'licht', 'uit', 'komen', 'ok', 'dan', 'valt', 'er', 'allemaal', 'chocolademousse', 'uit', 'en', 'smarties', 'als', 'je', 'het', 'ook', 'allemaal', 'in', 'een', 'dat', 'zo', 'lekker', 'en', 'ik', 'ga', 'nu', 'dus', 'lekker', 'smikkelen']","['toetje', 'ziet', 'wel', 'anders', 'binnenkant', 'lekker', 'echt', 'vertellen', 'jullie', 'lezen', 'sta', 'nee', 'schrijf', 'ok', 'sluit', 'ging', 'licht', 'komen', 'ok', 'valt', 'allemaal', 'chocolademousse', 'smarties', 'allemaal', 'lekker', 'ga', 'lekker', 'smikkelen']","['toetje', 'ziet', 'wel', 'anders', 'binnenkant', 'lekker', 'echt', 'vertellen', 'jullie', 'lezen', 'sta', 'nee', 'schrijf', 'ok', 'sluit', 'ging', 'licht', 'komen', 'ok', 'valt', 'allemaal', 'chocolademousse', 'smarties', 'allemaal', 'lekker', 'ga', 'lekker', 'smikkelen']","['toetj', 'ziet', 'wel', 'ander', 'binnenkant', 'lekker', 'echt', 'vertell', 'jullie', 'lez', 'sta', 'nee', 'schrijf', 'ok', 'sluit', 'ging', 'licht', 'kom', 'ok', 'valt', 'allemal', 'chocolademous', 'smarties', 'allemal', 'lekker', 'ga', 'lekker', 'smikkel']","toetj,ziet,wel,ander,binnenkant,lekker,echt,vertell,jullie,lez,sta,nee,schrijf,ok,sluit,ging,licht,kom,ok,valt,allemal,chocolademous,smarties,allemal,lekker,ga,lekker,smikkel",0,0,0,0,2,0,1,0,0,0,0,0,1,"['smarties', 'toetj', 'smikkel']",3,"smarties,toetj,smikkel",7,28,[4],4.0
7,336,3410302342,2342.0,31912,Dus als je een open snijdt dan komt er allemaal chocolademousse uit Smarties en karamelsaus het ruikt eruit echt zo lekker met wat weet ik niet Ik weet niet of het lekker is maar ja iedereen weet dat het lekker wordt ik ben raar Like This Is dit bericht als je dat,,group,2,1,10,0.0,,14,"['Dus', 'als', 'je', 'een', 'open', 'snijdt', 'dan', 'komt', 'er', 'allemaal', 'chocolademousse', 'uit', 'Smarties', 'en', 'karamelsaus', 'het', 'ruikt', 'eruit', 'echt', 'zo', 'lekker', 'met', 'wat', 'weet', 'ik', 'niet', 'Ik', 'weet', 'niet', 'of', 'het', 'lekker', 'is', 'maar', 'ja', 'iedereen', 'weet', 'dat', 'het', 'lekker', 'wordt', 'ik', 'ben', 'raar', 'Like', 'This', 'Is', 'dit', 'bericht', 'als', 'je', 'dat']","['Dus', 'als', 'je', 'een', 'open', 'snijdt', 'dan', 'komt', 'er', 'allemaal', 'chocolademousse', 'uit', 'Smarties', 'en', 'karamelsaus', 'het', 'ruikt', 'eruit', 'echt', 'zo', 'lekker', 'met', 'wat', 'weet', 'ik', 'niet', 'Ik', 'weet', 'niet', 'of', 'het', 'lekker', 'is', 'maar', 'ja', 'iedereen', 'weet', 'dat', 'het', 'lekker', 'wordt', 'ik', 'ben', 'raar', 'Like', 'This', 'Is', 'dit', 'bericht', 'als', 'je', 'dat']","['dus', 'als', 'je', 'een', 'open', 'snijdt', 'dan', 'komt', 'er', 'allemaal', 'chocolademousse', 'uit', 'smarties', 'en', 'karamelsaus', 'het', 'ruikt', 'eruit', 'echt', 'zo', 'lekker', 'met', 'wat', 'weet', 'ik', 'niet', 'ik', 'weet', 'niet', 'of', 'het', 'lekker', 'is', 'maar', 'ja', 'iedereen', 'weet', 'dat', 'het', 'lekker', 'wordt', 'ik', 'ben', 'raar', 'like', 'this', 'is', 'dit', 'bericht', 'als', 'je', 'dat']","['open', 'snijdt', 'komt', 'allemaal', 'chocolademousse', 'smarties', 'karamelsaus', 'ruikt', 'eruit', 'echt', 'lekker', 'weet', 'weet', 'lekker', 'iedereen', 'weet', 'lekker', 'raar', 'like', 'this', 'bericht']","['open', 'snijdt', 'komt', 'allemaal', 'chocolademousse', 'smarties', 'karamelsaus', 'ruikt', 'eruit', 'echt', 'lekker', 'weet', 'weet', 'lekker', 'iedereen', 'weet', 'lekker', 'raar', 'like', 'this', 'bericht']","['open', 'snijdt', 'komt', 'allemal', 'chocolademous', 'smarties', 'karamelsaus', 'ruikt', 'eruit', 'echt', 'lekker', 'wet', 'wet', 'lekker', 'iederen', 'wet', 'lekker', 'rar', 'lik', 'this', 'bericht']","open,snijdt,komt,allemal,chocolademous,smarties,karamelsaus,ruikt,eruit,echt,lekker,wet,wet,lekker,iederen,wet,lekker,rar,lik,this,bericht",1,0,0,0,0,0,1,0,0,0,1,0,0,"['karamelsaus', 'smarties']",2,"karamelsaus,smarties",7,21,"[4.6, 4]",4.3
8,337,3410302342,2342.0,31913,Nou ik heb dus de taart en die lijkt me echt heel lekker Ik ga nu een hapje nemen Ik ga dus nu proeven moet even door praten want anders dan ik ga nu een hapje nemen Oh mijn god die is lekker proeven Zeg even als je dat wilt dat ik wil je echt waar geloof me lekker lekker lekker uitroepteken uitroepteken uitroepteken en misschien wel wat rare teksten van dolfijnen die niet kloppen zeg maar mij Dat komt omdat het staat er bij het kan inspreken en dan typt het zelf voor je En dat is leuk lekkere taart echt zo lekker maar Doei buy,,group,1,1,10,0.0,,14,"['Nou', 'ik', 'heb', 'dus', 'de', 'taart', 'en', 'die', 'lijkt', 'me', 'echt', 'heel', 'lekker', 'Ik', 'ga', 'nu', 'een', 'hapje', 'nemen', 'Ik', 'ga', 'dus', 'nu', 'proeven', 'moet', 'even', 'door', 'praten', 'want', 'anders', 'dan', 'ik', 'ga', 'nu', 'een', 'hapje', 'nemen', 'Oh', 'mijn', 'god', 'die', 'is', 'lekker', 'proeven', 'Zeg', 'even', 'als', 'je', 'dat', 'wilt', 'dat', 'ik', 'wil', 'je', 'echt', 'waar', 'geloof', 'me', 'lekker', 'lekker', 'lekker', 'uitroepteken', 'uitroepteken', 'uitroepteken', 'en', 'misschien', 'wel', 'wat', 'rare', 'teksten', 'van', 'dolfijnen', 'die', 'niet', 'kloppen', 'zeg', 'maar', 'mij', 'Dat', 'komt', 'omdat', 'het', 'staat', 'er', 'bij', 'het', 'kan', 'inspreken', 'en', 'dan', 'typt', 'het', 'zelf', 'voor', 'je', 'En', 'dat', 'is', 'leuk', 'lekkere', 'taart', 'echt', 'zo', 'lekker', 'maar', 'Doei', 'buy']","['Nou', 'ik', 'heb', 'dus', 'de', 'taart', 'en', 'die', 'lijkt', 'me', 'echt', 'heel', 'lekker', 'Ik', 'ga', 'nu', 'een', 'hapje', 'nemen', 'Ik', 'ga', 'dus', 'nu', 'proeven', 'moet', 'even', 'door', 'praten', 'want', 'anders', 'dan', 'ik', 'ga', 'nu', 'een', 'hapje', 'nemen', 'Oh', 'mijn', 'god', 'die', 'is', 'lekker', 'proeven', 'Zeg', 'even', 'als', 'je', 'dat', 'wilt', 'dat', 'ik', 'wil', 'je', 'echt', 'waar', 'geloof', 'me', 'lekker', 'lekker', 'lekker', 'uitroepteken', 'uitroepteken', 'uitroepteken', 'en', 'misschien', 'wel', 'wat', 'rare', 'teksten', 'van', 'dolfijnen', 'die', 'niet', 'kloppen', 'zeg', 'maar', 'mij', 'Dat', 'komt', 'omdat', 'het', 'staat', 'er', 'bij', 'het', 'kan', 'inspreken', 'en', 'dan', 'typt', 'het', 'zelf', 'voor', 'je', 'En', 'dat', 'is', 'leuk', 'lekkere', 'taart', 'echt', 'zo', 'lekker', 'maar', 'Doei', 'buy']","['nou', 'ik', 'heb', 'dus', 'de', 'taart', 'en', 'die', 'lijkt', 'me', 'echt', 'heel', 'lekker', 'ik', 'ga', 'nu', 'een', 'hapje', 'nemen', 'ik', 'ga', 'dus', 'nu', 'proeven', 'moet', 'even', 'door', 'praten', 'want', 'anders', 'dan', 'ik', 'ga', 'nu', 'een', 'hapje', 'nemen', 'oh', 'mijn', 'god', 'die', 'is', 'lekker', 'proeven', 'zeg', 'even', 'als', 'je', 'dat', 'wilt', 'dat', 'ik', 'wil', 'je', 'echt', 'waar', 'geloof', 'me', 'lekker', 'lekker', 'lekker', 'uitroepteken', 'uitroepteken', 'uitroepteken', 'en', 'misschien', 'wel', 'wat', 'rare', 'teksten', 'van', 'dolfijnen', 'die', 'niet', 'kloppen', 'zeg', 'maar', 'mij', 'dat', 'komt', 'omdat', 'het', 'staat', 'er', 'bij', 'het', 'kan', 'inspreken', 'en', 'dan', 'typt', 'het', 'zelf', 'voor', 'je', 'en', 'dat', 'is', 'leuk', 'lekkere', 'taart', 'echt', 'zo', 'lekker', 'maar', 'doei', 'buy']","['nou', 'taart', 'lijkt', 'echt', 'heel', 'lekker', 'ga', 'hapje', 'nemen', 'ga', 'proeven', 'even', 'praten', 'anders', 'ga', 'hapje', 'nemen', 'oh', 'god', 'lekker', 'proeven', 'zeg', 'even', 'wilt', 'echt', 'waar', 'geloof', 'lekker', 'lekker', 'lekker', 'uitroepteken', 'uitroepteken', 'uitroepteken', 'misschien', 'wel', 'rare', 'teksten', 'dolfijnen', 'kloppen', 'zeg', 'komt', 'staat', 'inspreken', 'typt', 'leuk', 'lekkere', 'taart', 'echt', 'lekker', 'doei', 'buy']","['nou', 'taart', 'lijkt', 'echt', 'heel', 'lekker', 'ga', 'hapje', 'nemen', 'ga', 'proeven', 'even', 'praten', 'anders', 'ga', 'hapje', 'nemen', 'oh', 'god', 'lekker', 'proeven', 'zeg', 'even', 'wilt', 'echt', 'waar', 'geloof', 'lekker', 'lekker', 'lekker', 'uitroepteken', 'uitroepteken', 'uitroepteken', 'misschien', 'wel', 'rare', 'teksten', 'dolfijnen', 'kloppen', 'zeg', 'komt', 'staat', 'inspreken', 'typt', 'leuk', 'lekkere', 'taart', 'echt', 'lekker', 'doei', 'buy']","['nou', 'taart', 'lijkt', 'echt', 'hel', 'lekker', 'ga', 'hapj', 'nem', 'ga', 'proev', 'even', 'prat', 'ander', 'ga', 'hapj', 'nem', 'oh', 'god', 'lekker', 'proev', 'zeg', 'even', 'wilt', 'echt', 'war', 'gelof', 'lekker', 'lekker', 'lekker', 'uitroeptek', 'uitroeptek', 'uitroeptek', 'misschien', 'wel', 'rar', 'tekst', 'dolfijn', 'klopp', 'zeg', 'komt', 'stat', 'insprek', 'typt', 'leuk', 'lekker', 'taart', 'echt', 'lekker', 'doei', 'buy']","nou,taart,lijkt,echt,hel,lekker,ga,hapj,nem,ga,proev,even,prat,ander,ga,hapj,nem,oh,god,lekker,proev,zeg,even,wilt,echt,war,gelof,lekker,lekker,lekker,uitroeptek,uitroeptek,uitroeptek,misschien,wel,rar,tekst,dolfijn,klopp,zeg,komt,stat,insprek,typt,leuk,lekker,taart,echt,lekker,doei,buy",1,0,0,0,1,0,0,0,0,1,1,0,0,"['taart', 'taart', 'hapj', 'hapj']",4,"taart,taart,hapj,hapj",7,51,"[4, 4]",4.0
9,338,3410302342,2342.0,31914,Echt zo lekker mijn gezicht viel in de taart in een taart en taart Back Ik ga nu pretty Little Liars of nouja Sjoerd noemt het Pretty Little  la la  Ik ga dus op Netflix Pretty Little Liars kijken effe serieus Netflix is,,group,2,1,10,0.0,,14,"['Echt', 'zo', 'lekker', 'mijn', 'gezicht', 'viel', 'in', 'de', 'taart', 'in', 'een', 'taart', 'en', 'taart', 'Back', 'Ik', 'ga', 'nu', 'pretty', 'Little', 'Liars', 'of', 'nouja', 'Sjoerd', 'noemt', 'het', 'Pretty', 'Little', 'la', 'la', 'Ik', 'ga', 'dus', 'op', 'Netflix', 'Pretty', 'Little', 'Liars', 'kijken', 'effe', 'serieus', 'Netflix', 'is']","['Echt', 'zo', 'lekker', 'mijn', 'gezicht', 'viel', 'in', 'de', 'taart', 'in', 'een', 'taart', 'en', 'taart', 'Back', 'Ik', 'ga', 'nu', 'pretty', 'Little', 'Liars', 'of', 'nouja', 'Sjoerd', 'noemt', 'het', 'Pretty', 'Little', 'la', 'la', 'Ik', 'ga', 'dus', 'op', 'Netflix', 'Pretty', 'Little', 'Liars', 'kijken', 'effe', 'serieus', 'Netflix', 'is']","['echt', 'zo', 'lekker', 'mijn', 'gezicht', 'viel', 'in', 'de', 'taart', 'in', 'een', 'taart', 'en', 'taart', 'back', 'ik', 'ga', 'nu', 'pretty', 'little', 'liars', 'of', 'nouja', 'sjoerd', 'noemt', 'het', 'pretty', 'little', 'la', 'la', 'ik', 'ga', 'dus', 'op', 'netflix', 'pretty', 'little', 'liars', 'kijken', 'effe', 'serieus', 'netflix', 'is']","['echt', 'lekker', 'gezicht', 'viel', 'taart', 'taart', 'taart', 'back', 'ga', 'pretty', 'little', 'liars', 'nouja', 'sjoerd', 'noemt', 'pretty', 'little', 'la', 'la', 'ga', 'netflix', 'pretty', 'little', 'liars', 'kijken', 'effe', 'serieus', 'netflix']","['echt', 'lekker', 'gezicht', 'viel', 'taart', 'taart', 'taart', 'back', 'ga', 'pretty', 'little', 'liars', 'nouja', 'sjoerd', 'noemt', 'pretty', 'little', 'la', 'la', 'ga', 'netflix', 'pretty', 'little', 'liars', 'kijken', 'effe', 'serieus', 'netflix']","['echt', 'lekker', 'gezicht', 'viel', 'taart', 'taart', 'taart', 'back', 'ga', 'pretty', 'littl', 'liar', 'nouja', 'sjoerd', 'noemt', 'pretty', 'littl', 'la', 'la', 'ga', 'netflix', 'pretty', 'littl', 'liar', 'kijk', 'eff', 'serieus', 'netflix']","echt,lekker,gezicht,viel,taart,taart,taart,back,ga,pretty,littl,liar,nouja,sjoerd,noemt,pretty,littl,la,la,ga,netflix,pretty,littl,liar,kijk,eff,serieus,netflix",1,0,0,0,0,0,0,0,0,1,1,0,0,"['taart', 'taart', 'taart']",3,"taart,taart,taart",7,28,"[4, 4, 4]",4.0
13,435,3410302343,2343.0,31690,Ik??snoep,,group,0,1,10,0.0,,26,"['Ik', 'snoep']","['Ik', 'snoep']","['ik', 'snoep']",['snoep'],['snoep'],['snoep'],snoep,1,0,0,0,0,0,0,0,0,0,1,0,0,['snoep'],1,snoep,7,1,[4.4],4.4
14,507,3410302344,2344.0,31516,Het BIFI WORSTJE van sven zit in de gevare zone,,group,3,1,10,0.0,,16,"['Het', 'BIFI', 'WORSTJE', 'van', 'sven', 'zit', 'in', 'de', 'gevare', 'zone']","['Het', 'BIFI', 'WORSTJE', 'van', 'sven', 'zit', 'in', 'de', 'gevare', 'zone']","['het', 'bifi', 'worstje', 'van', 'sven', 'zit', 'in', 'de', 'gevare', 'zone']","['bifi', 'worstje', 'sven', 'zit', 'gevare', 'zone']","['bifi', 'worstje', 'sven', 'zit', 'gevare', 'zone']","['bifi', 'worstj', 'sven', 'zit', 'gevar', 'zon']","bifi,worstj,sven,zit,gevar,zon",1,0,0,0,0,0,0,0,0,0,1,0,0,['worstj'],1,worstj,6,6,[3.2],3.2
15,522,3410302344,2344.0,31781,Milkshake?tjappen,,group,4,1,10,0.0,,16,"['Milkshake', 'tjappen']","['Milkshake', 'tjappen']","['milkshake', 'tjappen']","['milkshake', 'tjappen']","['milkshake', 'tjappen']","['milkshak', 'tjapp']","milkshak,tjapp",0,1,0,0,1,0,0,0,1,0,1,0,0,"['milkshak', 'tjapp']",2,"milkshak,tjapp",6,2,[2.6],2.6
