,Text,Topic,Rating,Likes,Food,Broad Filter,Media,Age,Gender,food,supermarkets,related,drinks,slang,diet,meals,Dmeals,words_no,Polarity,restaurants,brands,Media_0,Media_1,Media_2,BMI,topic_no
10,Kersen zijn bae,6: Eating plans / Tafel,1.0,5.0,['kers'],"['kers', 'bae']",2.0,10.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,26.0,6
14,Het BIFI WORSTJE van sven zit in de gevare zone,6: Eating plans / Tafel,3.0,3.0,['worstj'],"['bifi', 'worstj', 'sven', 'zit', 'gevar', 'zon']",0.0,10.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,16.0,6
21,Haaaaaaaam kaaaaas op een tostiiii mmmm lekkerrr in je gezicht smeren verbrand gezicht oeps.....????,6: Eating plans / Tafel,3.0,0.0,"['ham', 'kas']","['ham', 'kas', 'tostii', 'mm', 'lekkerr', 'gezicht', 'smer', 'verbrand', 'gezicht', 'oep']",0.0,10.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,18.0,6
78,Kaas vlinder,6: Eating plans / Tafel,4.0,1.0,['kas'],"['kas', 'vlinder']",0.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,16.0,6
167,"Dit is een pittige, wie zou jij uit de klas willen? Je mag niet kiezen uit groepje 1.",6: Eating plans / Tafel,,0.0,['pittig'],"['pittig', 'jij', 'klas', 'will', 'mag', 'kiez', 'groepj']",0.0,12.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.16666666666666666,0.0,0.0,1.0,0.0,0.0,20.0,6
203,Oer kom Ik wil kaas,6: Eating plans / Tafel,4.0,0.0,['kas'],"['oer', 'kom', 'kas']",0.0,13.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,17.0,6
257,Lekkerre krentenbol,6: Eating plans / Tafel,4.0,0.0,['krentenbol'],"['lekkerr', 'krentenbol']",0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,15.0,6
339,Ghandi is mijn oom geef hem een wc alsjeblieft mijn koelkast heer yoki,6: Eating plans / Tafel,,0.0,['koelkast'],"['ghandi', 'oom', 'gef', 'wc', 'alsjeblieft', 'koelkast', 'her', 'yoki']",0.0,12.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,15.0,6
349,Yo yo yo yo yo ik weet niks om te zeggen nou pindakaas,6: Eating plans / Tafel,4.0,0.0,['pindakas'],"['yo', 'yo', 'yo', 'yo', 'yo', 'wet', 'nik', 'zegg', 'nou', 'pindakas']",0.0,13.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,17.0,6
367,Ik zit in de bus naar Berg en Dal oe oe,6: Eating plans / Tafel,1.0,0.0,['dal'],"['zit', 'bus', 'berg', 'dal', 'oe', 'oe']",0.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,-0.6499999999999999,0.0,0.0,1.0,0.0,0.0,26.0,6
457,Lekkerrr oreos,6: Eating plans / Tafel,5.0,0.0,['oreos'],"['lekkerr', 'oreos']",2.0,9.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,14.0,6
518,In fysio bij de baken in de buurt ,6: Eating plans / Tafel,,0.0,['bak'],"['fysio', 'bak', 'buurt']",0.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,14.0,6
613,Pindakaas op het strand gesmeerd,6: Eating plans / Tafel,4.0,0.0,['pindakas'],"['pindakas', 'strand', 'gesmeerd']",0.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,28.0,6
803,Wie wil dit bakken voor de heele klas,6: Eating plans / Tafel,,2.0,['bak'],"['bak', 'hel', 'klas']",2.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,20.0,6
814,Noedel kom de gij nog of hoe zit het,6: Eating plans / Tafel,2.0,0.0,['noedel'],"['noedel', 'kom', 'gij', 'zit']",0.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,17.0,6
818,Noedel komt,6: Eating plans / Tafel,2.0,0.0,['noedel'],"['noedel', 'komt']",0.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,17.0,6
840,Kaas fondeu,6: Eating plans / Tafel,4.0,0.0,['kas'],"['kas', 'fondeu']",0.0,10.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,14.0,6
842,Niet vandaag poffertjes bakken Dan kan ik niet dinsdag wel,6: Eating plans / Tafel,4.0,0.0,"['poffertjes', 'bak']","['vandag', 'poffertjes', 'bak', 'dinsdag', 'wel']",0.0,10.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,14.0,6
855,Jir hetbgroepje van Liam gaat ook poffertjes bakken,6: Eating plans / Tafel,4.0,0.0,"['poffertjes', 'bak']","['jir', 'hetbgroepj', 'liam', 'gat', 'poffertjes', 'bak']",0.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,18.0,6
931,Liam waarneer gaan we poffertjes bakken voor taal,6: Eating plans / Tafel,4.0,0.0,"['poffertjes', 'bak']","['liam', 'waarner', 'gan', 'we', 'poffertjes', 'bak', 'tal']",0.0,11.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,18.0,6
932,Bij wie gaan we bakken bij jiu liam,6: Eating plans / Tafel,,0.0,['bak'],"['gan', 'we', 'bak', 'jiu', 'liam']",0.0,11.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,18.0,6
933,Liam kom effe mybuzz vor poffertjes,6: Eating plans / Tafel,4.0,0.0,['poffertjes'],"['liam', 'kom', 'eff', 'mybuzz', 'vor', 'poffertjes']",0.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,18.0,6
934,Zullen we bij jou bakken de poffertjes,6: Eating plans / Tafel,4.0,0.0,"['poffertjes', 'bak']","['zull', 'we', 'jou', 'bak', 'poffertjes']",0.0,11.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,18.0,6
936,Kan je pannenkoekenmix in een poffertjes pan doen,6: Eating plans / Tafel,4.0,0.0,"['poffertjes', 'pan']","['pannenkoekenmix', 'poffertjes', 'pan']",0.0,11.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,18.0,6
937,Wij gaan speciale poffertjes bakken,6: Eating plans / Tafel,4.0,0.0,"['poffertjes', 'bak']","['wij', 'gan', 'special', 'poffertjes', 'bak']",0.0,11.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.6,0.0,0.0,1.0,0.0,0.0,18.0,6
979,Heeele grooooote blauwe plek en haar eleboog heeft gebloed zit nu een korst op ze heeft hewlveel pijn ??????,6: Eating plans / Tafel,,0.0,['korst'],"['hel', 'grot', 'blauw', 'plek', 'elebog', 'gebloed', 'zit', 'korst', 'hewlvel', 'pijn']",0.0,10.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,19.0,6
